DATE,PERCENT
2008-04-01,5.7400000000000000
2008-07-01,5.5600000000000000
2008-10-01,5.6200000000000000
2009-01-01,5.7100000000000000
2009-04-01,4.7100000000000000
2009-07-01,5.1100000000000000
2009-10-01,5.2500000000000000
2010-01-01,5.0200000000000000
2010-04-01,4.6400000000000000
2010-07-01,4.6700000000000000
2010-10-01,4.4800000000000000
2011-01-01,4.4200000000000000
2011-04-01,4.4000000000000000
2011-07-01,4.4600000000000000
2011-10-01,4.5400000000000000
2012-01-01,4.5100000000000000
2012-04-01,4.7700000000000000
2012-07-01,4.7400000000000000
2012-10-01,4.5300000000000000
2013-01-01,4.8000000000000000
2013-04-01,4.7800000000000000
2013-07-01,4.4300000000000000
2013-10-01,4.6900000000000000
2014-01-01,5.0100000000000000
2014-04-01,5.0300000000000000
2014-07-01,4.6800000000000000
2014-10-01,4.8200000000000000
2015-01-01,5.1900000000000000
2015-04-01,5.3800000000000000
2015-07-01,4.9200000000000000
2015-10-01,5.0300000000000000
2016-01-01,5.2500000000000000
2016-04-01,5.0400000000000000
2016-07-01,4.9800000000000000
2016-10-01,4.9400000000000000
2017-01-01,5.1000000000000000
2017-04-01,5.6100000000000000
2017-07-01,5.4400000000000000
2017-10-01,5.2900000000000000
2018-01-01,5.2400000000000000
2018-04-01,6.1600000000000000
2018-07-01,6.4300000000000000
2018-10-01,6.7000000000000000
2019-01-01,6.4800000000000000
2019-04-01,6.6800000000000000
2019-07-01,6.3700000000000000
2019-10-01,6.1100000000000000
2020-01-01,6.1300000000000000
2020-04-01,4.8000000000000000
2020-07-01,4.9800000000000000
2020-10-01,5.0700000000000000
2021-01-01,4.7900000000000000
2021-04-01,4.8600000000000000
2021-07-01,4.5400000000000000
2021-10-01,4.3700000000000000
2022-01-01,4.4100000000000000
2022-04-01,4.9800000000000000
2022-07-01,5.4700000000000000
2022-10-01,6.0700000000000000
2023-01-01,6.4100000000000000
2023-04-01,6.6000000000000000
